"new_sig_total","new_sig_quorum","date","id"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
"0","0","09.10.2015","1"
"0","0","10.10.2015","1"
"0","0","11.10.2015","1"
"1","0","12.10.2015","1"
"0","0","13.10.2015","1"
"0","0","14.10.2015","1"
"0","0","15.10.2015","1"
"3","3","16.10.2015","1"
"0","0","03.10.2015","1"
"0","0","04.10.2015","1"
"0","0","05.10.2015","1"
"0","0","06.10.2015","1"
"0","0","07.10.2015","1"
"0","0","08.10.2015","1"
